Automatic trading on BTCUSDT.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '02_auto_trade_auto_sell_BTCUSDT', 'symbol': 'BTC/USDT', 'tolerance': 150, 'current_trend': 1, 'min_sell_price': 29000.0, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 0.1, 'buy_price': 27931.2, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [27931.2], 'v_min': 27931.2, 'v_max': 27931.2}
2023-04-06 13:36:19, Price=27931.20, v_min=27931.20, v_max=27931.20, trend=1
2023-04-06 13:36:34, Price=27924.97, v_min=(27931.20,-6.23), v_max=(27931.20,6.23), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27924.97]
2023-04-06 13:36:49, Price=27921.50, v_min=(27931.20,-9.70), v_max=(27931.20,9.70), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27921.5]
2023-04-06 13:37:04, Price=27921.49, v_min=(27931.20,-9.71), v_max=(27931.20,9.71), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27921.49]
2023-04-06 13:37:19, Price=27928.81, v_min=(27931.20,-2.39), v_max=(27931.20,2.39), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27928.81]
2023-04-06 13:37:34, Price=27937.14, v_min=(27931.20,5.94), v_max=(27937.14,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27937.14]
2023-04-06 13:37:49, Price=27931.19, v_min=(27931.20,-0.01), v_max=(27937.14,5.95), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27931.19]
2023-04-06 13:38:04, Price=27927.97, v_min=(27931.20,-3.23), v_max=(27937.14,9.17), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27927.97]
2023-04-06 13:38:20, Price=27928.71, v_min=(27931.20,-2.49), v_max=(27937.14,8.43), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27928.71]
2023-04-06 13:38:34, Price=27937.10, v_min=(27931.20,5.90), v_max=(27937.14,0.04), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27937.1]
2023-04-06 13:38:49, Price=27937.67, v_min=(27931.20,6.47), v_max=(27937.67,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27937.67]
2023-04-06 13:39:04, Price=27941.56, v_min=(27931.20,10.36), v_max=(27941.56,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27941.56]
2023-04-06 13:39:19, Price=27933.55, v_min=(27931.20,2.35), v_max=(27941.56,8.01), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27933.55]
2023-04-06 13:39:34, Price=27933.79, v_min=(27931.20,2.59), v_max=(27941.56,7.77), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27933.79]
2023-04-06 13:39:49, Price=27935.11, v_min=(27931.20,3.91), v_max=(27941.56,6.45), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27935.11]
