Automatic trading on ETHEUR.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '05_auto_trade_auto_sell_ETHEUR', 'symbol': 'ETH/EUR', 'tolerance': 5, 'current_trend': 1, 'min_sell_price': 1725, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 2.0, 'buy_price': 1720.36, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [1720.36], 'v_min': 1720.36, 'v_max': 1720.36}
2023-04-10 16:42:35, Price=1720.36, v_min=1720.36, v_max=1720.36, trend=1
2023-04-10 16:42:50, Price=1720.97, v_min=(1720.36,0.61), v_max=(1720.97,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.97]
2023-04-10 16:43:05, Price=1720.98, v_min=(1720.36,0.62), v_max=(1720.98,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.98]
2023-04-10 16:43:20, Price=1720.16, v_min=(1720.36,-0.20), v_max=(1720.98,0.82), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.16]
2023-04-10 16:43:35, Price=1720.16, v_min=(1720.36,-0.20), v_max=(1720.98,0.82), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.16]
2023-04-10 16:43:51, Price=1720.03, v_min=(1720.36,-0.33), v_max=(1720.98,0.95), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.03]
2023-04-10 16:44:05, Price=1720.16, v_min=(1720.36,-0.20), v_max=(1720.98,0.82), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.16]
2023-04-10 16:44:20, Price=1721.30, v_min=(1720.36,0.94), v_max=(1721.30,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1721.3]
2023-04-10 16:44:37, Price=1720.69, v_min=(1720.36,0.33), v_max=(1721.30,0.61), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.69]
2023-04-10 16:44:50, Price=1720.03, v_min=(1720.36,-0.33), v_max=(1721.30,1.27), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.03]
2023-04-10 16:45:05, Price=1719.76, v_min=(1720.36,-0.60), v_max=(1721.30,1.54), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1719.76]
2023-04-10 16:45:21, Price=1720.20, v_min=(1720.36,-0.16), v_max=(1721.30,1.10), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.2]
2023-04-10 16:45:36, Price=1720.27, v_min=(1720.36,-0.09), v_max=(1721.30,1.03), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.27]
2023-04-10 16:45:51, Price=1720.53, v_min=(1720.36,0.17), v_max=(1721.30,0.77), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.53]
2023-04-10 16:46:06, Price=1720.81, v_min=(1720.36,0.45), v_max=(1721.30,0.49), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.81]
2023-04-10 16:46:21, Price=1720.53, v_min=(1720.36,0.17), v_max=(1721.30,0.77), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.53]
2023-04-10 16:46:36, Price=1720.47, v_min=(1720.36,0.11), v_max=(1721.30,0.83), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.47]
2023-04-10 16:46:51, Price=1720.45, v_min=(1720.36,0.09), v_max=(1721.30,0.85), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.45]
2023-04-10 16:47:06, Price=1720.45, v_min=(1720.36,0.09), v_max=(1721.30,0.85), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1720.45]
2023-04-10 16:47:21, Price=1721.27, v_min=(1720.36,0.91), v_max=(1721.30,0.03), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1721.27]
2023-04-10 16:47:36, Price=1721.50, v_min=(1720.36,1.14), v_max=(1721.50,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1721.5]
2023-04-10 16:47:51, Price=1721.82, v_min=(1720.36,1.46), v_max=(1721.82,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1721.82]
2023-04-10 16:48:05, Price=1721.72, v_min=(1720.36,1.36), v_max=(1721.82,0.10), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1721.72]
2023-04-10 16:48:21, Price=1721.97, v_min=(1720.36,1.61), v_max=(1721.97,0.00), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1721.97]
