Datetime,BTCUSDT,ETHUSDT,MATICUSDT,MANAUSDT
2023-03-28 13:54:02,26979.98,1736.37,1.0573,0.5637
2023-03-28 13:55:03,26975.71,1736.43,1.0575,0.5634
2023-03-28 13:56:03,26957.06,1735.93,1.0571,0.5631
2023-03-28 13:57:02,26962.49,1736.64,1.0574,0.5631
2023-03-28 13:58:03,26978.47,1737.5,1.0577,0.5633
2023-03-28 13:59:03,26977.19,1736.9,1.0574,0.5639
2023-03-28 14:00:03,26983.01,1737.05,1.0572,0.5636
2023-03-28 14:01:02,26983.63,1737.73,1.0581,0.5635
2023-03-28 14:02:02,26973.18,1737.54,1.0583,0.5637
2023-03-28 14:03:03,26972.22,1737.28,1.0576,0.5633
2023-03-28 14:04:03,26994.16,1738.15,1.0581,0.5637
2023-03-28 14:05:02,27000.24,1738.34,1.0579,0.5637
2023-03-28 14:06:03,27003.99,1738.34,1.0576,0.5632
2023-03-28 14:07:03,26983.12,1736.91,1.0565,0.5625
2023-03-28 14:08:02,26984.33,1736.93,1.0566,0.5624
2023-03-28 14:09:03,26960.5,1735.99,1.0549,0.5622
2023-03-28 14:10:03,26938.38,1734.82,1.054,0.5618
2023-03-28 14:11:02,26943.78,1734.65,1.0545,0.5621
2023-03-28 14:12:02,26935.97,1734.5,1.0547,0.5618
2023-03-28 14:13:03,26899.66,1732.72,1.0529,0.5615
2023-03-28 14:14:02,26899.01,1732.6,1.0533,0.5616
2023-03-28 14:15:02,26905.0,1733.21,1.0537,0.5615
2023-03-28 14:16:03,26893.29,1732.83,1.0535,0.5615
2023-03-28 14:17:02,26873.99,1731.1,1.0516,0.5606
2023-03-28 14:18:02,26879.84,1731.64,1.0522,0.5604
2023-03-28 14:19:02,26904.12,1732.98,1.0526,0.5609
2023-03-28 14:20:02,26891.51,1732.68,1.0528,0.5607
2023-03-28 14:21:02,26879.85,1732.01,1.0521,0.5605
2023-03-28 14:22:03,26890.58,1732.31,1.0529,0.5606
2023-03-28 14:23:03,26890.26,1732.43,1.053,0.5609
2023-03-28 14:24:03,26902.26,1733.29,1.0534,0.5604
2023-03-28 14:25:03,26917.06,1734.88,1.0541,0.5611
2023-03-28 14:26:03,26903.15,1733.87,1.0535,0.561
2023-03-28 14:27:02,26895.24,1733.93,1.0535,0.5611
2023-03-28 14:28:03,26870.02,1732.48,1.0515,0.5599
2023-03-28 14:29:03,26882.92,1733.94,1.0528,0.5605
2023-03-28 14:30:03,26912.3,1736.2,1.0552,0.5616
2023-03-28 14:31:02,26933.0,1736.72,1.0568,0.562
2023-03-28 14:32:02,26912.0,1735.18,1.055,0.5616
